method,uid,dataset,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,n_miss,n_fp
SAM_swin_litemedsam,busi_98197bf517,busi,0.0,1,3,0.0,0.0,,,0.0,,,
SAM_swin_litemedsam__detstats,busi_98197bf517,busi,,1,3,,,,,,,1.0,3.0
A_box,busi_4e9b7d897c,busi,0.8509141802787781,1,1,0.9194528875379939,0.8509142053445851,3.605551275463989,1.691803230968537,0.7204753321316509,0.08349514563106795,,
A_box__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_4e9b7d897c,busi,0.8950850367546082,1,1,0.944638403990025,0.8950850661625709,3.0,1.1348324312147764,0.8452313883299799,0.05339805825242718,,
A_otsu__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_4e9b7d897c,busi,0.8950850367546082,1,1,0.944638403990025,0.8950850661625709,3.0,1.1348324312147764,0.8452313883299799,0.05339805825242718,,
A_otsu_fb__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_4e9b7d897c,busi,0.8950850367546082,1,1,0.944638403990025,0.8950850661625709,3.0,1.1348324312147764,0.8452313883299799,0.05339805825242718,,
A_select__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_4e9b7d897c,busi,0.8681267499923706,1,1,0.9294088301322025,0.8681267474370923,3.0,1.4600193182701262,0.7981605766840665,0.053883495145631066,,
B_seg__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_4e9b7d897c,busi,0.8890917301177979,1,1,0.941290166706934,0.8890917389319946,4.123105625617661,1.3140558189753748,0.7774800506463297,0.009223300970873786,,
SAM_edgesam__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
SAM_litemedsam,busi_4e9b7d897c,busi,0.8690209984779358,1,1,0.9299210715139918,0.8690210102816271,5.830951894845301,1.5859636097526262,0.8108855828134263,0.029611650485436892,,
SAM_litemedsam__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
SAM_swin_litemedsam,busi_4e9b7d897c,busi,0.7475082874298096,1,1,0.8555133079847909,0.7475083056478405,6.708203932499369,2.8517411202392955,0.4065492740191535,0.04271844660194175,,
SAM_swin_litemedsam__detstats,busi_4e9b7d897c,busi,,1,1,,,,,,,0.0,0.0
A_box,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_box__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
A_otsu,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_otsu__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
A_otsu_fb,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_otsu_fb__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
A_select,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
A_select__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
B_seg,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
B_seg__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
SAM_edgesam,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
SAM_litemedsam,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_litemedsam__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
SAM_swin_litemedsam,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_swin_litemedsam__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_11c694f20f,busi,0.8238672614097595,1,1,0.9034289713086074,0.8238672622846203,4.47213595499958,1.7130774122123593,0.7088459285295841,0.04727793696275072,,
A_box__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_11c694f20f,busi,0.8343004584312439,1,1,0.9096660808435852,0.8343004513217279,4.218733674818961,1.5808047679061557,0.7564469914040115,0.03796561604584527,,
A_otsu__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_11c694f20f,busi,0.8343004584312439,1,1,0.9096660808435852,0.8343004513217279,4.218733674818961,1.5808047679061557,0.7564469914040115,0.03796561604584527,,
A_otsu_fb__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_11c694f20f,busi,0.8343004584312439,1,1,0.9096660808435852,0.8343004513217279,4.218733674818961,1.5808047679061557,0.7564469914040115,0.03796561604584527,,
A_select__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_11c694f20f,busi,0.6828617453575134,1,1,0.8115482233502538,0.6828617191671116,10.391853012565557,3.650471117392532,0.5182346109175376,0.25787965616045844,,
B_seg__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_11c694f20f,busi,0.692307710647583,1,1,0.8181818181818182,0.6923076923076923,7.0,3.458919599698133,0.2978362324989393,0.19054441260744986,,
SAM_edgesam__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
SAM_litemedsam,busi_11c694f20f,busi,0.8179503679275513,1,1,0.8998599439775911,0.8179503500954806,5.084166586553863,1.7820042894417187,0.7174465681197628,0.045845272206303724,,
SAM_litemedsam__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
SAM_swin_litemedsam,busi_11c694f20f,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_swin_litemedsam__detstats,busi_11c694f20f,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_dcf573aebc,busi,0.9082112908363342,1,1,0.9518980402905304,0.9082112970711297,10.0,3.894205725120074,0.34410234514603794,0.009547190398254229,,
A_box__detstats,busi_dcf573aebc,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_dcf573aebc,busi,0.9196059703826904,1,1,0.9581195231704429,0.9196059859821936,7.810249675906654,3.267157808762616,0.38486376149623225,0.025563089392876628,,
A_otsu__detstats,busi_dcf573aebc,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_dcf573aebc,busi,0.9196059703826904,1,1,0.9581195231704429,0.9196059859821936,7.810249675906654,3.267157808762616,0.38486376149623225,0.025563089392876628,,
A_otsu_fb__detstats,busi_dcf573aebc,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_dcf573aebc,busi,0.9196059703826904,1,1,0.9581195231704429,0.9196059859821936,7.810249675906654,3.267157808762616,0.38486376149623225,0.025563089392876628,,
A_select__detstats,busi_dcf573aebc,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_dcf573aebc,busi,0.9432991743087769,1,1,0.9708223844282239,0.9432991640503839,5.0,2.1976034635590644,0.5347738014854827,0.00198737432779986,,
B_seg__detstats,busi_dcf573aebc,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_dcf573aebc,busi,0.9490706920623779,1,1,0.9738699444885012,0.9490706750647243,5.656854249492381,2.0279306470285956,0.6400514031141056,0.034447821681864235,,
SAM_edgesam__detstats,busi_dcf573aebc,busi,,1,1,,,,,,,0.0,0.0
SAM_litemedsam,busi_dcf573aebc,busi,0.9577039480209351,1,1,0.9783950617283951,0.9577039274924471,4.242640687119285,1.646962416723917,0.7159980233747429,0.030395136778115502,,
SAM_litemedsam__detstats,busi_dcf573aebc,busi,,1,1,,,,,,,0.0,0.0
SAM_swin_litemedsam,busi_dcf573aebc,busi,0.8409342765808105,1,1,0.91359509583301,0.8409342523481305,18.258618738676,6.920066139585378,0.1907586555824036,0.00872885979268958,,
SAM_swin_litemedsam__detstats,busi_dcf573aebc,busi,,1,1,,,,,,,0.0,0.0
A_box,busi_25d8683937,busi,0.9008662104606628,1,1,0.9478481012658228,0.9008662175168431,3.1622776601683795,1.3717448569424742,0.7921462423832092,0.09363957597173145,,
A_box__detstats,busi_25d8683937,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_25d8683937,busi,0.8805876970291138,1,1,0.9365026595744681,0.8805876836511409,3.605551275463989,1.6835254933298884,0.649402390438247,0.12579505300353358,,
A_otsu__detstats,busi_25d8683937,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_25d8683937,busi,0.8805876970291138,1,1,0.9365026595744681,0.8805876836511409,3.605551275463989,1.6835254933298884,0.649402390438247,0.12579505300353358,,
A_otsu_fb__detstats,busi_25d8683937,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_25d8683937,busi,0.8805876970291138,1,1,0.9365026595744681,0.8805876836511409,3.605551275463989,1.6835254933298884,0.649402390438247,0.12579505300353358,,
A_select__detstats,busi_25d8683937,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_25d8683937,busi,0.8575757741928101,1,1,0.9233278955954323,0.8575757575757575,4.242640687119285,2.1455438115171037,0.517385257301808,0.16607773851590105,,
B_seg__detstats,busi_25d8683937,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_25d8683937,busi,0.8100286722183228,1,1,0.895045116352699,0.810028653295129,5.0,2.9067144405442327,0.2778114830952512,0.23215547703180212,,
SAM_edgesam__detstats,busi_25d8683937,busi,,1,1,,,,,,,0.0,0.0
SAM_litemedsam,busi_25d8683937,busi,0.8461307883262634,1,1,0.9166531275385865,0.8461307738452309,4.242640687119285,2.286275550428801,0.4407403318982963,0.17491166077738515,,
SAM_litemedsam__detstats,busi_25d8683937,busi,,1,1,,,,,,,0.0,0.0
SAM_swin_litemedsam,busi_25d8683937,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_swin_litemedsam__detstats,busi_25d8683937,busi,,1,1,,,,,,,1.0,1.0
