uid,dataset,otsu_iou,otsu+ref_iou,box_iou,box+ref_iou,mvp_iou,mvp+ref_iou
tn3k_242c29b639,tn3k,0.8631316357883849,0.8281700981335386,0.7913517404493804,0.90114298449489,0.90114298449489,0.90114298449489
tn3k_4501e10e3f,tn3k,0.6808461715336859,0.7852534562211981,0.7099983419001824,0.822880771881461,0.6808461715336859,0.7852534562211981
tn3k_398c97384e,tn3k,0.5166237627352163,0.5160222256051149,0.7211997044401155,0.6942250832740746,0.6942250832740746,0.6942250832740746
tn3k_2e8606665e,tn3k,0.4630177514792899,0.6376958059626073,0.8178001679261125,0.8272040302267003,0.4630177514792899,0.6376958059626073
tn3k_e82f9f01a7,tn3k,0.7423841059602649,0.8471698113207548,0.6850209986000934,0.8829452485840151,0.8829452485840151,0.8829452485840151
tn3k_c1be980a7c,tn3k,0.8877786318216756,0.8121508379888268,0.6120556414219475,0.7913279132791328,0.8121508379888268,0.8121508379888268
tn3k_c1be980a7c,tn3k,0.31180625630676084,0.48501664816870144,0.7246621621621622,0.8100436681222707,0.31180625630676084,0.48501664816870144
tn3k_75f6fec10b,tn3k,0.8442211055276382,0.7900280898876404,0.6844919786096256,0.8669467787114846,0.8442211055276382,0.7900280898876404
tn3k_a66f54501a,tn3k,0.8390630155064335,0.9173503288358533,0.7654049526202816,0.8899887065701189,0.8390630155064335,0.9173503288358533
tn3k_be632d42a2,tn3k,0.5857876712328767,0.7546186641402179,0.5854869074105767,0.7927072927072927,0.5857876712328767,0.7546186641402179
tn3k_123cbf01bd,tn3k,0.5389426284189459,0.6718986793678285,0.5187723848338891,0.8997150372643578,0.5389426284189459,0.6718986793678285
tn3k_123cbf01bd,tn3k,0.4602088584803745,0.7265625,0.48106963198305536,0.7774674115456238,0.4602088584803745,0.7265625
tn3k_8f32288f9c,tn3k,0.6476504534212696,0.8593155893536122,0.6493246623311656,0.7886756238003839,0.8593155893536122,0.8593155893536122
tn3k_053bfdf068,tn3k,0.5959651035986914,0.7178247734138973,0.5304157549234135,0.7482951022938623,0.7178247734138973,0.7178247734138973
tn3k_3538cd8e63,tn3k,0.6911519198664441,0.8120915032679739,0.6730769230769231,0.7854137447405329,0.8120915032679739,0.8120915032679739
tn3k_12b9b2e7b0,tn3k,0.7948197054342305,0.883129123468426,0.6023609816713265,0.8591682419659735,0.7948197054342305,0.883129123468426
tn3k_ac15c997d4,tn3k,0.7822331893892659,0.7714776632302406,0.5486189935679152,0.7560700169395822,0.7822331893892659,0.7714776632302406
tn3k_00daec2730,tn3k,0.71431722920803,0.896297470863395,0.6688501515807709,0.8477631388446504,0.8477631388446504,0.8477631388446504
tn3k_cee3119b00,tn3k,0.74913112164297,0.7101790763430725,0.6677444531162895,0.7682638272700385,0.74913112164297,0.7101790763430725
tn3k_49c7c236dd,tn3k,0.7733688833124216,0.8659624840648333,0.7693264893451548,0.8734200403004213,0.7733688833124216,0.8659624840648333
tn3k_791faec81f,tn3k,0.7362076958738989,0.8403041825095057,0.6662975267626431,0.8450479233226837,0.8403041825095057,0.8403041825095057
tn3k_d2c8216947,tn3k,0.08593200468933176,0.3491686460807601,0.6726425605185861,0.7555943039814007,0.08593200468933176,0.3491686460807601
tn3k_606e589ecf,tn3k,0.538107752956636,0.6706071496122564,0.6936179387667097,0.8390447529366081,0.6936179387667097,0.8390447529366081
tn3k_9667cba6ba,tn3k,0.5439984561945195,0.7243764409976944,0.7244387013406558,0.7688787185354691,0.5439984561945195,0.7243764409976944
tn3k_604aad6ea1,tn3k,0.21422300263388938,0.5180124223602485,0.6226384231618549,0.7655321447866018,0.21422300263388938,0.5180124223602485
tn3k_ed0acccbea,tn3k,0.6263059201714439,0.8621209267281974,0.6255518394648829,0.8586853570752037,0.8586853570752037,0.8586853570752037
