uid,dataset,best_iou,best_conf,hit25,hit_lowconf,area_ratio,diag,contrast,w,h
ddti_65ec60d09d,ddti,0.6732837055417701,0.7109556198120117,1.0,1.0,0.06146240234375,106.7941945987702,21.714934301094054,77,74
ddti_489a74d797,ddti,0.8101910828025478,0.6274405121803284,1.0,1.0,0.08343505859375,125.78155667664477,41.58386815094783,110,61
ddti_b40cf90f18,ddti,0.930109112356237,0.12262403219938278,0.0,1.0,0.0379486083984375,93.1074647920348,15.593573921546806,85,38
ddti_7c62604dba,ddti,0.9067357512953368,0.7974697351455688,1.0,1.0,0.282806396484375,222.44325119005072,17.211332872921417,184,125
ddti_4b8d19d7a1,ddti,0.8767058076801015,0.7429547309875488,1.0,1.0,0.2842254638671875,214.00934559032697,-60.79760251350725,130,170
ddti_6ee55d72ab,ddti,0.6912662596230422,0.005350399296730757,0.0,1.0,0.0332489013671875,81.30190649671138,23.550643433141957,43,69
ddti_8dad71b90d,ddti,0.5731225296442688,0.7341867685317993,1.0,1.0,0.04437255859375,83.45058418010026,-8.991250768714295,58,60
ddti_a8736f35aa,ddti,0.7584352078239609,0.0011740799527615309,0.0,1.0,0.01910400390625,61.587336360651285,25.174135137361873,33,52
ddti_feb395b080,ddti,0.1960054406185124,0.8488204479217529,0.0,0.0,0.097564697265625,132.31024147812596,9.50959097205579,75,109
ddti_5dfcfa97df,ddti,0.8321132259638848,0.7454482913017273,1.0,1.0,0.2959136962890625,226.92730113408567,-11.831971120934142,130,186
ddti_29ec7eabab,ddti,0.7658227848101266,0.005255537107586861,0.0,1.0,0.1171722412109375,159.02829936838285,3.0618347118951306,129,93
ddti_ad3b19cbcd,ddti,0.8807220450737718,0.0016003455966711044,0.0,1.0,0.1317291259765625,216.1712284278368,-29.569065748455223,197,89
ddti_e9be59c1a3,ddti,0.9227294467768508,0.8188638091087341,1.0,1.0,0.1732025146484375,204.47249203743763,-1.6218719870398672,180,97
ddti_3db3d34949,ddti,0.8390480032271077,0.8484525680541992,1.0,1.0,0.0521087646484375,102.39628899525607,33.17364635553366,87,54
ddti_fd470c1032,ddti,0.8404262928259781,0.8527668714523315,1.0,1.0,0.312652587890625,258.81460546112925,5.6841442432814375,237,104
ddti_640c4f6df2,ddti,0.7912261634225867,0.8508269786834717,1.0,1.0,0.2071990966796875,215.08137994721906,20.27544942819671,186,108
ddti_c9d3b7aed1,ddti,0.9271956176002827,0.7958743572235107,1.0,1.0,0.244537353515625,232.13142829009604,14.646965537847464,206,107
ddti_7ddf6c0f99,ddti,0.821039603960396,0.6855423450469971,1.0,1.0,0.121246337890625,141.76741515595182,-14.164707932389788,107,93
ddti_7fdea6c059,ddti,0.6545088161209068,0.012295156717300415,0.0,1.0,0.0854949951171875,154.50566332662373,-9.04406078943154,144,56
ddti_a24384ffc8,ddti,0.8167397907526156,0.8650045990943909,1.0,1.0,0.11529541015625,146.16771189288008,5.0087344354336665,121,82
ddti_2678dc79df,ddti,0.95,0.8436470031738281,1.0,1.0,0.086700439453125,131.2288078129189,10.947233996432175,114,65
ddti_3cb770272f,ddti,0.8531775018261505,0.791426420211792,1.0,1.0,0.058319091796875,104.63746938836012,25.427928454524206,82,65
ddti_97dac9ec47,ddti,0.5042796865581676,0.06523382663726807,0.0,1.0,0.04571533203125,114.12712210513327,-5.707395513234019,104,47
ddti_12d95b37a4,ddti,0.7696,0.8062821626663208,1.0,1.0,0.01776123046875,57.3149195236284,24.692494429131955,42,39
ddti_b1ee2d97ca,ddti,0.7677283653846154,0.7321058511734009,1.0,1.0,0.0355682373046875,85.0881895447306,9.894591294591294,74,42
ddti_be9223a0e9,ddti,0.8013245033112583,0.36626294255256653,1.0,1.0,0.0247039794921875,75.58438992278762,-5.590991678783389,68,33
ddti_2a1acce5a7,ddti,0.7642403010250421,0.6987889409065247,1.0,1.0,0.08349609375,124.53112060846478,-6.161874341651227,108,62
ddti_e045a21668,ddti,0.8636363636363636,0.7993646860122681,1.0,1.0,0.1195526123046875,146.72763884149435,39.98614657660413,123,80
ddti_1c55c900ff,ddti,0.4394942805538832,0.8252962827682495,0.0,0.0,0.41888427734375,266.83515510516975,20.752029996430238,220,151
ddti_a76252d2b4,ddti,0.6826568265682657,0.7929052710533142,1.0,1.0,0.032379150390625,81.6333265278342,12.776056794065411,70,42
ddti_187f4dab10,ddti,0.8341514726507714,0.0024276229087263346,0.0,1.0,0.027740478515625,73.49829930005184,1.4892485558519013,41,61
ddti_4016772991,ddti,0.5844155844155844,0.4589269459247589,1.0,1.0,0.0374755859375,83.6301381082203,-2.8505717951971974,63,55
ddti_dc43010854,ddti,0.8648648648648649,0.06537562608718872,0.0,1.0,0.0588226318359375,104.9952379872535,-15.37702822512189,80,68
ddti_043379d4b4,ddti,0.6847826086956522,0.12066200375556946,0.0,1.0,0.0165557861328125,63.50590523722971,17.727599299354445,28,57
ddti_9c90160b14,ddti,0.3919544900446973,0.8422743678092957,0.0,0.0,0.056182861328125,105.30906893520614,23.318463410777028,53,91
ddti_787c8b3c4b,ddti,0.833427922814983,0.5246139764785767,1.0,1.0,0.0759735107421875,115.74541027617467,16.183988895410764,74,89
ddti_233bdfbf21,ddti,0.911677141912008,0.7361665368080139,1.0,1.0,0.0339508056640625,74.95331880577403,35.342607700090525,53,53
ddti_ac743820ef,ddti,0.8545454545454545,0.736591637134552,1.0,1.0,0.0178375244140625,57.688820407423826,13.84166772837304,32,48
ddti_7599103e43,ddti,0.9183673469387755,0.8453910946846008,1.0,1.0,0.1426849365234375,161.7188919081503,5.852245682000316,133,92
ddti_6c5aa6a01f,ddti,0.9183673469387755,0.8453910946846008,1.0,1.0,0.1426849365234375,161.7188919081503,5.852245682000316,133,92
ddti_a94de71ed0,ddti,0.6910557796633746,0.6789085865020752,1.0,1.0,0.0461883544921875,108.40664186294121,-6.073351302125673,54,94
ddti_e217109e28,ddti,0.6091205211726385,0.01023900043219328,0.0,1.0,0.0178070068359375,60.60528029800704,-1.1488016410895483,37,48
ddti_27df9b9068,ddti,0.7324955116696589,0.40690284967422485,1.0,1.0,0.012481689453125,51.0,20.054214718196803,24,45
ddti_4d1fb97d3c,ddti,0.15089877010406813,0.0014093004865571856,0.0,0.0,0.1703948974609375,188.0026595556563,1.478741435529784,151,112
ddti_f242f7bf6e,ddti,0.7825839499146272,0.0037389264907687902,0.0,1.0,0.117828369140625,146.44111444536333,-6.3751097940509425,81,122
ddti_90696b2b43,ddti,0.7272727272727273,0.24023988842964172,0.0,1.0,0.017486572265625,60.03332407921454,11.38350395786587,30,52
ddti_ba1514aeb9,ddti,0.9065821049022968,0.7507112622261047,1.0,1.0,0.1262359619140625,158.80806024884254,3.7365479892153175,82,136
ddti_c8fbd8e3a2,ddti,0.828839266905414,0.8697643876075745,1.0,1.0,0.19415283203125,190.90573590125572,21.074584773518808,146,123
ddti_e33a37bf51,ddti,0.7345617529880478,0.7796218395233154,1.0,1.0,0.0367584228515625,88.40814442120137,7.001931808513106,70,54
ddti_33e5e1f317,ddti,0.816710182767624,0.5877699255943298,1.0,1.0,0.169464111328125,184.43969204051496,-3.777726860384874,103,153
ddti_cd5c4e3c0d,ddti,0.8925373134328358,0.6596747636795044,1.0,1.0,0.01165771484375,47.885279575251516,-2.883020270206302,23,42
ddti_939c619c88,ddti,0.8103320035161269,0.8222071528434753,1.0,1.0,0.135345458984375,160.0312469488381,8.609477170236744,119,107
ddti_a0e522ad71,ddti,0.9320469798657718,0.8430138230323792,1.0,1.0,0.1021728515625,130.80137613954986,12.05015799217665,78,105
ddti_37e3d077d2,ddti,0.8865527814279457,0.839745819568634,1.0,1.0,0.2533416748046875,198.75864761061342,11.889432559844764,144,137
ddti_4c301e1cf4,ddti,0.7388059701492538,0.5505183935165405,1.0,1.0,0.0551605224609375,108.2266141020775,11.02752885086187,57,92
ddti_1113200ee2,ddti,0.9051428571428571,0.0016499526100233197,0.0,1.0,0.10906982421875,138.62178760930766,30.390808189823247,100,96
