uid,dataset,rough_box_dice,rough_otsu_dice,cover_otsu,cover_box,ref_box_dice,ref_otsu_dice
busi_fb599a827f,busi,0.876150888496311,0.7504829362524147,0.6593126856173102,0.9936359779380568,0.9329532661029535,0.8389241948891213
busi_26b35ce6c2,busi,0.8432657926102503,0.8632668144863267,0.8254416961130742,1.0,0.9212121212121213,0.9045337265020272
busi_4058304b16,busi,0.8304585612116113,0.8512624655208997,0.9690821256038648,0.9536231884057971,0.9306142750559562,0.930736997781612
busi_dc9eed528c,busi,0.8055546124333685,0.9146566090693798,0.8661129568106313,0.9852990033222592,0.9183766153338012,0.9219014543086608
busi_de9fa69171,busi,0.8876350297822697,0.8274325395740493,0.7618819857013392,0.9959973819353539,0.8881618002346932,0.8893927390936159
busi_1af81235cf,busi,0.8725516501207405,0.9314230521571153,0.8776418242491657,0.9865507129133381,0.9457696121927032,0.9391022393352924
busi_0e203e8363,busi,0.7957181378122868,0.8257488791180229,0.7782631772343118,1.0,0.9557853171922898,0.933448343139973
busi_8c1f838d6c,busi,0.7882345268375399,0.8324961360123647,0.7130564289260302,1.0,0.9356624005534417,0.9252539282923865
busi_cfd961e96d,busi,0.870499419279907,0.9105774144098109,0.8769685039370079,0.9835958005249343,0.932529335071708,0.9382040553588671
busi_6d2d131466,busi,0.8681623392992186,0.87,0.9767964071856288,0.9666916167664671,0.9553728171486648,0.9539461467038068
busi_873f42e663,busi,0.872533308914427,0.939423272875484,0.9588663546541861,0.9910036401456058,0.9483292000102268,0.9571326384631106
busi_22d1a239ff,busi,0.8396665432382935,0.7350848827809215,0.6497784764899243,0.9992615882997475,0.9404428035547351,0.8613064791133845
busi_888dc0e64a,busi,0.8043862875961252,0.7144728647209158,0.5822598711845421,0.8036964435732288,0.7853892560792307,0.7741770751324553
busi_62445ce52f,busi,0.6891981444665342,0.7785145520628138,0.9303713527851459,1.0,0.763983777457198,0.8225899083823328
busi_31157c7321,busi,0.5693002724419768,0.6519689406544648,0.8525838621940163,0.9977636748262315,0.7171166318813259,0.751715213516615
busi_31341a9960,busi,0.8705629543163368,0.926732499963534,0.9598150889808744,0.991479590295193,0.9481538507091464,0.9525735725172939
busi_6e82f75987,busi,0.8906495629755392,0.912425525805757,0.8701396495071194,0.96960569550931,0.8999550126310689,0.9222772622619131
busi_f5cba98f1d,busi,0.8051712080721297,0.6793845669539212,0.6694377021085202,1.0,0.9314911411995365,0.8131592121389978
busi_70e63630b2,busi,0.8457229163806124,0.8684620118000507,0.7790693898756372,1.0,0.9558565337346375,0.9111717837763582
busi_d6ece3a2e2,busi,0.849344333083339,0.9047593410143211,0.895454787659189,0.9956839132519849,0.9663569023569023,0.9689467168857165
busi_21ebb876bc,busi,0.8431068820535517,0.7767637259162683,0.6684118673647469,0.949887808526552,0.9004421814283801,0.8877033181522447
busi_7a078fba05,busi,0.7125938415833635,0.93401389181225,1.0,1.0,0.8562903541381335,0.8825177624337036
