method,uid,dataset,modality,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,pred_pt_err,n_miss,n_fp,rough_pt_err,eval
yolo26n_seg,busi_3aa2ecd082,busi,breast,0.9122441411018372,1,1,0.9541084384717108,0.9122441308136556,8.0,3.4811600532416813,0.337490551776266,0.0414432162270621,3.733258008956909,,,,v2_eval_A1
refiner,busi_3aa2ecd082,busi,breast,0.8637927770614624,1,1,0.9269193219135528,0.8637927611989678,16.594967208645482,5.633351674380995,0.3431989255104309,0.0551968187953741,6.39162540435791,,,17.751848220825195,v2_eval_A1
rough_otsu,busi_3aa2ecd082,busi,breast,0.6944591999053955,1,1,0.8196824257647798,0.6944592232271795,36.6742416417845,15.915954560876555,0.0104031209362808,0.4399693553682828,17.72572898864746,,,17.72572898864746,v2_eval_A1
refiner_gtbox,busi_3aa2ecd082,busi,breast,0.8852596879005432,1,1,0.9391382084748792,0.8852597161829643,16.1245154965971,4.65994465248038,0.4511685116851168,0.0404217285031556,5.364862442016602,,,9.418567657470703,v2_eval_A1
rough_otsu_gtbox,busi_3aa2ecd082,busi,breast,0.8303191661834717,1,1,0.9072943911653588,0.8303191489361702,25.32186470755235,6.062442879238957,0.3924457818823285,0.134070263762723,9.261758804321287,,,9.261758804321287,v2_eval_A1
yolo26n_seg,busi_f89428ed30,busi,breast,0.932585060596466,1,1,0.9651167175774032,0.9325850885503972,5.385164807134504,1.8443676576552983,0.662204243182678,0.0128147482014388,2.220416784286499,,,,v2_eval_A1
refiner,busi_f89428ed30,busi,breast,0.882514476776123,1,1,0.9375911568281262,0.882514450867052,7.810249675906654,3.2098648920199317,0.3919795128861766,0.0475119904076738,3.5101218223571777,,,8.109928131103516,v2_eval_A1
rough_otsu,busi_f89428ed30,busi,breast,0.7488833665847778,1,1,0.8564131455399061,0.7488833420914346,17.0,7.174551553123574,0.1559150263106606,0.0047212230215827,8.116125106811523,,,8.116125106811523,v2_eval_A1
refiner_gtbox,busi_f89428ed30,busi,breast,0.8592055439949036,1,1,0.9242717030663216,0.8592055314533622,14.38567068835308,4.1207512134492745,0.3225925730283661,0.055380695443645,4.379539012908936,,,7.67016077041626,v2_eval_A1
rough_otsu_gtbox,busi_f89428ed30,busi,breast,0.7657116055488586,1,1,0.867312202133293,0.7657116142389635,16.55294535724685,6.675932271757574,0.2379289472458909,0.0187350119904076,7.647146224975586,,,7.647146224975586,v2_eval_A1
yolo26n_seg,busi_42f20b000b,busi,breast,0.9100979566574096,1,1,0.9529332932831164,0.9100979786388912,5.0,2.7599239605145938,0.4005603075730933,0.0829242467994994,2.763535499572754,,,,v2_eval_A1
refiner,busi_42f20b000b,busi,breast,0.8609379529953003,1,1,0.9252731245447924,0.8609379235565194,11.40175425099138,4.288331836523172,0.2963407318536293,0.017614784868611,5.115971565246582,,,7.260981559753418,v2_eval_A1
rough_otsu,busi_42f20b000b,busi,breast,0.8062175512313843,1,1,0.8927136851938346,0.8062175728687729,15.598046793815056,5.78353247495394,0.2319169409977209,0.0608335739724708,7.297910690307617,,,7.297910690307617,v2_eval_A1
refiner_gtbox,busi_42f20b000b,busi,breast,0.8516091108322144,1,1,0.9198584311063706,0.8516091386507474,13.601470508735444,4.69584073812368,0.3888039649459282,0.0146308595629993,5.621938228607178,,,6.797822952270508,v2_eval_A1
rough_otsu_gtbox,busi_42f20b000b,busi,breast,0.8234186768531799,1,1,0.903159208757442,0.8234186911796892,15.652475842498529,5.408103555082961,0.2781271161845796,0.0048127827509866,6.833072662353516,,,6.833072662353516,v2_eval_A1
yolo26n_seg,busi_e236c55059,busi,breast,0.8332374095916748,1,1,0.9090338376545922,0.833237426631373,7.810249675906654,3.692365186960873,0.2890769020229748,0.0778763370727889,4.506886959075928,,,,v2_eval_A1
refiner,busi_e236c55059,busi,breast,0.758359968662262,1,1,0.8625764641753982,0.758359957401491,18.899673373182324,5.700404504626258,0.21949907346524,0.1537959822593269,6.074221611022949,,,6.317228317260742,v2_eval_A1
rough_otsu,busi_e236c55059,busi,breast,0.7619863152503967,1,1,0.8649173955296404,0.761986301369863,15.756733089748954,4.677454484343544,0.4244405512308776,0.1476650143490738,6.312598705291748,,,6.312598705291748,v2_eval_A1
refiner_gtbox,busi_e236c55059,busi,breast,0.7904198169708252,1,1,0.8829435388613277,0.7904197948609496,14.142135623730953,5.006398782543796,0.2972980563981575,0.2087138012001043,5.71601676940918,,,6.525290489196777,v2_eval_A1
rough_otsu_gtbox,busi_e236c55059,busi,breast,0.7625502943992615,1,1,0.8652806153106598,0.7625503071383182,17.634916808858843,4.8453649957712415,0.4226625351792364,0.1708844247325854,6.484711647033691,,,6.484711647033691,v2_eval_A1
yolo26n_seg,busi_d07111ff97,busi,breast,0.0,1,1,0.0,0.0,,,0.0,,,,,,v2_eval_A1
refiner,busi_d07111ff97,busi,breast,0.0,1,0,0.0,0.0,,,0.0,,,,,,v2_eval_A1
rough_otsu,busi_d07111ff97,busi,breast,0.0,1,0,0.0,0.0,,,0.0,,,,,,v2_eval_A1
